screen_code,screen_code_dec,petscii_code,petscii_code_dec,char,unicode,name,keyboard,control_code,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
$C3,195,$63,99,🭸,U+1FB78,horizontal one eighth block-4 (reverse),,,$FF,$FF,$FF,$00,$00,$FF,$FF,$FF
$C4,196,$64,100,🭷,U+1FB77,horizontal one eighth block-3 (reverse),,,$FF,$FF,$00,$00,$FF,$FF,$FF,$FF
$C5,197,$65,101,🭶,U+1FB76,horizontal one eighth block-2 (reverse),,,$FF,$00,$00,$FF,$FF,$FF,$FF,$FF
$C6,198,$66,102,🭺,U+1FB7A,horizontal one eighth block-6 (reverse),,,$FF,$FF,$FF,$FF,$00,$00,$FF,$FF
$C7,199,$67,103,🭱,U+1FB71,vertical one eighth block-3 (reverse),,,$CF,$CF,$CF,$CF,$CF,$CF,$CF,$CF
$C8,200,$68,104,🭴,U+1FB74,vertical one eighth block-6 (reverse),,,$F3,$F3,$F3,$F3,$F3,$F3,$F3,$F3
$C9,201,$69,105,╮,U+256E,box drawings light arc down and left (reverse),,,$FF,$FF,$FF,$1F,$0F,$C7,$E7,$E7
$CA,202,$6A,106,╰,U+2570,box drawings light arc up and right (reverse),,,$E7,$E7,$E3,$F0,$F8,$FF,$FF,$FF
$CB,203,$6B,107,╯,U+256F,box drawings light arc up and left (reverse),,,$E7,$E7,$C7,$0F,$1F,$FF,$FF,$FF
$CC,204,$6C,108,🭼,U+1FB7C,left and lower one eighth block (reverse),,,$3F,$3F,$3F,$3F,$3F,$3F,$00,$00
$CD,205,$6D,109,╲,U+2572,box drawings light diagonal upper left to lower right (reverse),,,$3F,$1F,$8F,$C7,$E3,$F1,$F8,$FC
$CE,206,$6E,110,╱,U+2571,box drawings light diagonal upper right to lower left (reverse),,,$FC,$F8,$F1,$E3,$C7,$8F,$1F,$3F
$CF,207,$6F,111,🭽,U+1FB7D,left and upper one eighth block (reverse),,,$00,$00,$3F,$3F,$3F,$3F,$3F,$3F
$D0,208,$70,112,🭾,U+1FB7E,right and upper one eighth block (reverse),,,$00,$00,$FC,$FC,$FC,$FC,$FC,$FC
$D1,209,$71,113,•,U+2022,bullet (reverse),,,$FF,$C3,$81,$81,$81,$81,$C3,$FF
$D2,210,$72,114,🭻,U+1FB7B,horizontal one eighth block-7 (reverse),,,$FF,$FF,$FF,$FF,$FF,$00,$00,$FF
$D3,211,$73,115,♥,U+2665,black heart suit (reverse),,,$C9,$80,$80,$80,$C1,$E3,$F7,$FF
$D4,212,$74,116,🭰,U+1FB70,vertical one eighth block-2 (reverse),,,$9F,$9F,$9F,$9F,$9F,$9F,$9F,$9F
$D5,213,$75,117,╭,U+256D,box drawings light arc down and right (reverse),,,$FF,$FF,$FF,$F8,$F0,$E3,$E7,$E7
$D6,214,$76,118,╳,U+2573,box drawings light diagonal cross (reverse),,,$3C,$18,$81,$C3,$C3,$81,$18,$3C
$D7,215,$77,119,○,U+25CB,white circle (reverse),,,$FF,$C3,$81,$99,$99,$81,$C3,$FF
$D8,216,$78,120,♣,U+2663,black club suit (reverse),,,$E7,$E7,$99,$99,$E7,$E7,$C3,$FF
